model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
13651_40_41_50_B,13651_40_41_50,B,5,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_C,13651_40_41_50,C,15,Boreal White Spruce-Fir-Hardwood Forest - Inland,1568,3,49,13651,50,3202,1
13651_40_41_50_D,13651_40_41_50,D,68,Boreal White Spruce-Fir-Hardwood Forest - Inland,1568,4,2771,13651,50,3202,86
13651_40_41_50_E,13651_40_41_50,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_Agriculture,13651_40_41_50,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1568,180,1,13651,50,3202,0
13651_40_41_50_Developed,13651_40_41_50,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1568,120,332,13651,50,3202,10
13651_40_41_50_Water,13651_40_41_50,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_UN,13651_40_41_50,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_UE,13651_40_41_50,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1568,7,19,13651,50,3202,0
13651_51_A,13651_51,A,7,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,1,2732,13651,51,999589,0
13651_51_B,13651_51,B,22,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,2,7,13651,51,999589,0
13651_51_C,13651_51,C,7,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,3,10943,13651,51,999589,1
13651_51_D,13651_51,D,64,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,4,895018,13651,51,999589,89
13651_51_E,13651_51,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Agriculture,13651_51,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,180,16744,13651,51,999589,1
13651_51_Developed,13651_51,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,120,42350,13651,51,999589,4
13651_51_Water,13651_51,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_UN,13651_51,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_UE,13651_51,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,7,31795,13651,51,999589,3
13652_51_A,13652_51,A,4,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,1,12,13652,51,43874,0
13652_51_B,13652_51,B,13,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_C,13652_51,C,4,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,3,19,13652,51,43874,0
13652_51_D,13652_51,D,79,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,4,42928,13652,51,43874,97
13652_51_E,13652_51,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Agriculture,13652_51,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,180,10,13652,51,43874,0
13652_51_Developed,13652_51,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,120,860,13652,51,43874,1
13652_51_Water,13652_51,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_UN,13652_51,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_UE,13652_51,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,7,45,13652,51,43874,0
13660_50_A,13660_50,A,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,1,9,13660,50,6003,0
13660_50_B,13660_50,B,16,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,2,34,13660,50,6003,0
13660_50_C,13660_50,C,39,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,3,10,13660,50,6003,0
13660_50_D,13660_50,D,42,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,4,4601,13660,50,6003,76
13660_50_E,13660_50,E,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Agriculture,13660_50,Agriculture,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,180,14,13660,50,6003,0
13660_50_Developed,13660_50,Developed,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,120,1043,13660,50,6003,17
13660_50_Water,13660_50,Water,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_UN,13660_50,UN,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_UE,13660_50,UE,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,7,292,13660,50,6003,4
13660_51_63_64_65_66_A,13660_51_63_64_65_66,A,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,1,311,13660,51,265002,0
13660_51_63_64_65_66_B,13660_51_63_64_65_66,B,16,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,2,1031,13660,51,265002,0
13660_51_63_64_65_66_C,13660_51_63_64_65_66,C,39,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,3,623,13660,51,265002,0
13660_51_63_64_65_66_D,13660_51_63_64_65_66,D,42,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,4,245619,13660,51,265002,92
13660_51_63_64_65_66_E,13660_51_63_64_65_66,E,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Agriculture,13660_51_63_64_65_66,Agriculture,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,180,2079,13660,51,265002,0
13660_51_63_64_65_66_Developed,13660_51_63_64_65_66,Developed,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,120,9121,13660,51,265002,3
13660_51_63_64_65_66_Water,13660_51_63_64_65_66,Water,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_UN,13660_51_63_64_65_66,UN,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_UE,13660_51_63_64_65_66,UE,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,7,6218,13660,51,265002,2
14071_41_50_51_A,14071_41_50_51,A,9,Laurentian Pine-Oak Barrens,1628,1,4,14071,51,2236,0
14071_41_50_51_B,14071_41_50_51,B,1,Laurentian Pine-Oak Barrens,NA,NA,NA,NA,NA,NA,NA
14071_41_50_51_C,14071_41_50_51,C,26,Laurentian Pine-Oak Barrens,1628,3,27,14071,51,2236,1
14071_41_50_51_D,14071_41_50_51,D,62,Laurentian Pine-Oak Barrens,1628,4,448,14071,51,2236,20
14071_41_50_51_E,14071_41_50_51,E,2,Laurentian Pine-Oak Barrens,1628,5,1443,14071,51,2236,64
14071_41_50_51_Agriculture,14071_41_50_51,Agriculture,0,Laurentian Pine-Oak Barrens,1628,180,1,14071,51,2236,0
14071_41_50_51_Developed,14071_41_50_51,Developed,0,Laurentian Pine-Oak Barrens,1628,120,112,14071,51,2236,5
14071_41_50_51_Water,14071_41_50_51,Water,0,Laurentian Pine-Oak Barrens,NA,NA,NA,NA,NA,NA,NA
14071_41_50_51_UN,14071_41_50_51,UN,0,Laurentian Pine-Oak Barrens,1628,6,11,14071,51,2236,0
14071_41_50_51_UE,14071_41_50_51,UE,0,Laurentian Pine-Oak Barrens,1628,7,190,14071,51,2236,8
14072_41_50_51_A,14072_41_50_51,A,14,Laurentian Pine-Oak Barrens - Jack Pine,1629,1,7,14072,51,901,0
14072_41_50_51_B,14072_41_50_51,B,23,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_C,14072_41_50_51,C,49,Laurentian Pine-Oak Barrens - Jack Pine,1573,3,66,14072,50,73,90
14072_41_50_51_C,14072_41_50_51,C,49,Laurentian Pine-Oak Barrens - Jack Pine,1629,3,654,14072,51,901,72
14072_41_50_51_D,14072_41_50_51,D,14,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_E,14072_41_50_51,E,NA,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_Agriculture,14072_41_50_51,Agriculture,0,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_Developed,14072_41_50_51,Developed,0,Laurentian Pine-Oak Barrens - Jack Pine,1573,120,7,14072,50,73,9
14072_41_50_51_Developed,14072_41_50_51,Developed,0,Laurentian Pine-Oak Barrens - Jack Pine,1629,120,72,14072,51,901,7
14072_41_50_51_Water,14072_41_50_51,Water,0,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_UN,14072_41_50_51,UN,0,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
